id,image,timestamp_utc,distance_m,distance_definition,image_width,image_height,corner_order,corners_px,width_cm,height_cm,edge_lengths_cm,normalized_corners,planar_corners_cm,calibration_file,calibration_sha256,annotated_image
book_01,book_measurement_images/book_01_3p048m.jpeg,2026-09-15T03:41:14.164142+00:00,3.048,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1524.6726441120954, 2016.0854508494263], [1673.9626107158415, 2007.3036881080293], [1669.5717293451435, 2222.4568752722516], [1533.4544068534924, 2213.6751125308547]]",14.421207632204737,20.601149200028665,"{""top"": 15.084134142961739, ""right"": 21.46219669181384, ""bottom"": 13.758281121447737, ""left"": 19.74010170824349}","[[0.011107717307534386, 0.030109335062494587], [0.06051627518004743, 0.02729529579939168], [0.05911693760365061, 0.09769542105418165], [0.014070817623878951, 0.09480562859754176]]","[[3.385632235336481, 9.177325327048349], [18.445360674878458, 8.319606159654585], [18.018842581592708, 29.777564337314566], [4.288785211758304, 28.896755596530728]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_01_3p048m.png
book_02,book_measurement_images/book_02_3p048m.jpeg,2026-09-15T03:41:54.964134+00:00,3.048,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1480.7638304051113, 2068.776027297807], [1581.754101931175, 2068.776027297807], [1581.754101931175, 2231.2386380136486], [1480.7638304051113, 2231.2386380136486]]",10.191984927333786,16.209736493822884,"{""top"": 10.195107481386463, ""right"": 16.21106848683811, ""bottom"": 10.18886237328111, ""left"": 16.20840450080766}","[[-0.0034208449813564533, 0.04734974481318352], [0.030027660149282247, 0.04737590277243211], [0.030065751982053236, 0.10056180936412608], [-0.0033622559411592545, 0.10052689265810019]]","[[-1.0426735503174471, 14.432202219058338], [9.15243081350123, 14.440175165037308], [9.164041204129827, 30.651239494185628], [-1.0248156108653408, 30.640596882188937]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_02_3p048m.png
book_03,book_measurement_images/book_03_3p048m.jpeg,2026-09-15T03:42:33.189925+00:00,3.048,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1471.9820676637146, 2095.1213155219975], [1608.0993901553657, 2095.1213155219975], [1616.8811528967622, 2297.101858574125], [1476.3729490344128, 2301.4927399448234]]",13.95518205277823,20.36612455346777,"{""top"": 13.740963338126383, ""right"": 20.156144501030695, ""bottom"": 14.169400767430078, ""left"": 20.576104605904845}","[[-0.006321772114612947, 0.055974628045065505], [0.03876011322953809, 0.056011856413799535], [0.041692841973159374, 0.12207587628603205], [-0.004773970332081491, 0.12346378654809055]]","[[-1.9268761405340264, 17.061066628135965], [11.814082512363209, 17.0724138349261], [12.707978233418975, 37.20872709198257], [-1.4551061572184385, 37.631762139858]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_03_3p048m.png
book_04,book_measurement_images/book_04_3p048m.jpeg,2026-09-15T03:43:06.556517+00:00,3.048,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1419.2914912153335, 2046.8216204443152], [1542.2361695948891, 2042.4307390736167], [1546.6270509655876, 2248.8021634964425], [1414.900609844635, 2248.8021634964425]]",12.844899095623585,20.36940174154696,"{""top"": 12.410435671169678, ""right"": 20.596508832040108, ""bottom"": 13.279362520077491, ""left"": 20.142294651053806}","[[-0.02376116087825093, 0.040153452752426884], [0.016930864391933545, 0.03873751937726741], [0.018442487949360334, 0.10629445766445622], [-0.02512491582406222, 0.10622302335310757]]","[[-7.242401835690885, 12.238772398939714], [5.160527466661344, 11.807195906191106], [5.62127032696503, 32.39855069612626], [-7.658074343174165, 32.37677751802719]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_04_3p048m.png
book_05,book_measurement_images/book_05_3p048m.jpeg,2026-09-15T03:43:56.272760+00:00,3.048,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1397.3370843618413, 1937.0495861768545], [1542.2361695948891, 1932.658704806156], [1546.6270509655876, 2156.5936547117753], [1397.3370843618413, 2160.984536082474]]",14.834749692565595,22.330063980159686,"{""top"": 14.606804076361584, ""right"": 22.342496486541034, ""bottom"": 15.062695308769603, ""left"": 22.31763147377834}","[[-0.0309973773638184, 0.004285309743000223], [0.016903445604220864, 0.0028412304485930327], [0.018416159533878724, 0.07612777390834796], [-0.030982912994130057, 0.07750588401568967]]","[[-9.448000620491847, 1.3061624096664681], [5.15217022016652, 0.8660070407311563], [5.613245425926236, 23.20374548726446], [-9.44359188061084, 23.623793447982212]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_05_3p048m.png
book_01,book_measurement_images/book_01_3p658m.jpeg,2026-09-15T03:45:23.420429+00:00,3.658,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1423.682372586032, 1980.9583998838389], [1537.8452882241909, 1976.5675185131404], [1533.4544068534924, 2143.4210105996804], [1428.0732539567302, 2143.4210105996804]]",13.29297731464387,19.720657114505187,"{""top"": 13.825871440728305, ""right"": 19.9884910760228, ""bottom"": 12.760083188559436, ""left"": 19.452823152987577}","[[-0.022308705314630674, 0.018614802954469135], [0.015460517619247657, 0.01718547710044941], [0.014049241638982673, 0.07181047275806804], [-0.020833415272745116, 0.07177318475026685]]","[[-8.1605244040919, 6.80929492074481], [5.655457345120793, 6.286447523344394], [5.139212591539861, 26.268270934901288], [-7.620863306770163, 26.254630981647615]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_01_3p658m.png
book_02,book_measurement_images/book_02_3p658m.jpeg,2026-09-15T03:45:49.146675+00:00,3.658,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1581.754101931175, 1941.440467547553], [1660.7899666037465, 1937.0495861768545], [1660.7899666037465, 2081.9486714099025], [1577.3632205604765, 2081.9486714099025]]",9.837702089292268,17.07718615593388,"{""top"": 9.57300926784325, ""right"": 17.331686466280665, ""bottom"": 10.102394910741284, ""left"": 16.822685845587092}","[[0.02998278725946609, 0.005721503959929812], [0.05611607061949606, 0.004334517991572749], [0.056194400423835375, 0.051714678684336504], [0.02857714928839257, 0.051688770399576235]]","[[10.967703579512696, 2.092926148542325], [20.52725863261166, 1.5855666813173113], [20.555911675038978, 18.917229462730294], [10.453521209694001, 18.907752212164986]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_02_3p658m.png
book_03,book_measurement_images/book_03_3p658m.jpeg,2026-09-15T03:46:16.225006+00:00,3.658,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1436.8550166981272, 1954.6131116596484], [1551.017932336286, 1941.440467547553], [1555.4088137069843, 2117.07572237549], [1436.8550166981272, 2117.07572237549]]",14.13092624542303,20.23660701865216,"{""top"": 13.903024124044517, ""right"": 21.03241455779126, ""bottom"": 14.358828366801545, ""left"": 19.44079947951306}","[[-0.017951876688925037, 0.010006769184466104], [0.019811728242421323, 0.005710795249747625], [0.021314353107576848, 0.0631881898201637], [-0.01793885223350948, 0.063152747576252]]","[[-6.566796492808778, 3.660476167677701], [7.24713019107772, 2.089008902357681], [7.79679036675161, 23.114239836215884], [-6.562032147017768, 23.101275063392983]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_03_3p658m.png
book_04,book_measurement_images/book_04_3p658m.jpeg,2026-09-15T03:46:51.072624+00:00,3.658,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1454.418542180921, 1901.9225352112671], [1564.1905764483813, 1906.3134165819656], [1568.5814578190798, 2068.776027297807], [1454.418542180921, 2073.1669086685056]]",13.563098676059337,19.956044281026877,"{""top"": 13.28775684571991, ""right"": 19.438991771851327, ""bottom"": 13.838440506398765, ""left"": 20.473096790202426}","[[-0.0121377883442754, -0.007186168484918873], [0.024158915216028698, -0.005747695450642298], [0.025664585140130553, 0.047372008036454326], [-0.012139754942938697, 0.04878183801470836]]","[[-4.440002976335941, -2.628700431783324], [8.837331186023297, -2.1025069958449527], [9.388105244259757, 17.328680539734993], [-4.440722358126975, 17.844396345780318]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_04_3p658m.png
book_05,book_measurement_images/book_05_3p658m.jpeg,2026-09-15T03:47:18.590398+00:00,3.658,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1423.682372586032, 1866.7954842456797], [1546.6270509655876, 1866.7954842456797], [1542.2361695948891, 2042.4307390736167], [1419.2914912153335, 2055.603383185712]]",14.9116088766521,21.77177477595587,"{""top"": 14.855930795452934, ""right"": 20.989915982488707, ""bottom"": 14.967286957851266, ""left"": 22.55363356942303}","[[-0.0222728161320004, -0.018610642193528707], [0.01833934823945255, -0.018626044408196245], [0.016930864391933545, 0.03873751937726741], [-0.023760250788067386, 0.04302705435777794]]","[[-8.147396141085746, -6.807772914392801], [6.708533585991742, -6.813407044518187], [6.193310194569291, 14.170184588204418], [-8.691499738275049, 15.739296484075172]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_05_3p658m.png
