trial_id,book_id,image_filename,distance_m,true_width_cm,true_height_cm,predicted_width_cm,predicted_height_cm,width_signed_error_cm,width_absolute_error_cm,width_percentage_error,width_absolute_percentage_error,height_signed_error_cm,height_absolute_error_cm,height_percentage_error,height_absolute_percentage_error,measurement_json,ground_truth_id,ground_truth_json,source_csv_row
book_01_3p048m,book_01,book_01_3p048m.jpeg,3.048,15.056255057836275,23.09652526274089,14.421207632204737,20.601149200028665,-0.6350474256315373,0.6350474256315373,-4.217831214947547,4.217831214947547,-2.495376062712225,2.495376062712225,-10.80411895003853,10.80411895003853,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_01_3p048m.json,book_01,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_01.json,12
book_02_3p048m,book_02,book_02_3p048m.jpeg,3.048,10.83063646208672,18.642000823895508,10.191984927333786,16.209736493822884,-0.6386515347529329,0.6386515347529329,-5.8967128754489195,5.8967128754489195,-2.4322643300726234,2.4322643300726234,-13.04722788637002,13.04722788637002,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_02_3p048m.json,book_02,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_02.json,13
book_03_3p048m,book_03,book_03_3p048m.jpeg,3.048,15.095331895951233,22.52388961803303,13.95518205277823,20.36612455346777,-1.1401498431730026,1.1401498431730026,-7.552996191351088,7.552996191351088,-2.157765064565261,2.157765064565261,-9.579895396209523,9.579895396209523,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_03_3p048m.json,book_03,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_03.json,14
book_04_3p048m,book_04,book_04_3p048m.jpeg,3.048,14.426846821220277,21.9380456387581,12.844899095623585,20.36940174154696,-1.5819477255966916,1.5819477255966916,-10.965304790439887,10.965304790439887,-1.5686438972111425,1.5686438972111425,-7.150335645394995,7.150335645394995,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_04_3p048m.json,book_04,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_04.json,15
book_05_3p048m,book_05,book_05_3p048m.jpeg,3.048,15.75187498014552,23.75638372059132,14.834749692565595,22.330063980159686,-0.9171252875799247,0.9171252875799247,-5.822324572382126,5.822324572382126,-1.4263197404316337,1.4263197404316337,-6.003943012569471,6.003943012569471,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_05_3p048m.json,book_5,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_5.json,16
book_01_3p658m,book_01,book_01_3p658m.jpeg,3.658,15.056255057836275,23.09652526274089,13.29297731464387,19.720657114505187,-1.763277743192404,1.763277743192404,-11.711263766581034,11.711263766581034,-3.3758681482357034,3.3758681482357034,-14.616346441001772,14.616346441001772,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_01_3p658m.json,book_01,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_01.json,17
book_02_3p658m,book_02,book_02_3p658m.jpeg,3.658,10.83063646208672,18.642000823895508,9.837702089292268,17.07718615593388,-0.9929343727944513,0.9929343727944513,-9.167830314222774,9.167830314222774,-1.5648146679616275,1.5648146679616275,-8.394027458446585,8.394027458446585,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_02_3p658m.json,book_02,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_02.json,18
book_03_3p658m,book_03,book_03_3p658m.jpeg,3.658,15.095331895951233,22.52388961803303,14.13092624542303,20.23660701865216,-0.964405650528203,0.964405650528203,-6.388767449272641,6.388767449272641,-2.287282599380873,2.287282599380873,-10.154918347449339,10.154918347449339,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_03_3p658m.json,book_03,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_03.json,19
book_04_3p658m,book_04,book_04_3p658m.jpeg,3.658,14.426846821220277,21.9380456387581,13.563098676059337,19.956044281026877,-0.8637481451609403,0.8637481451609403,-5.987088903518845,5.987088903518845,-1.9820013577312245,1.9820013577312245,-9.034539312971473,9.034539312971473,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_04_3p658m.json,book_04,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_04.json,20
book_05_3p658m,book_05,book_05_3p658m.jpeg,3.658,15.75187498014552,23.75638372059132,14.9116088766521,21.77177477595587,-0.8402661034934198,0.8402661034934198,-5.334387839876426,5.334387839876426,-1.9846089446354505,1.9846089446354505,-8.354002730286139,8.354002730286139,/Users/jimmyli/Desktop/CV_Module2/results/measurements/book_05_3p658m.json,book_5,/Users/jimmyli/Desktop/CV_Module2/results/ground_truth/book_5.json,21
